EntrezA	EntrezB	Metabolite
30	10455	3ddecdicoa
26063	10455	3decdicoa
26063	1962	3decdicoa
1666	1632	3decdicoa
8714	123264	3dhcdchol
6555	8647	3dhcdchol
1576	8647	3dhcdchol
1244	200931	3dhcdchol
10257	200931	3dhcdchol
10257	28234	3dhcdchol
1244	28234	3dhcdchol
1576	1244	3dhcdchol
8647	200931	3dhcdchol
123264	1244	3dhcdchol
8714	10599	3dhcdchol
10257	10599	3dhcdchol
8714	6555	3dhcdchol
10599	8647	3dhcdchol
8714	28234	3dhcdchol
1244	6555	3dhcdchol
200931	1244	3dhcdchol
200931	10257	3dhcdchol
6554	8647	3dhcdchol
1244	6554	3dhcdchol
10257	6554	3dhcdchol
123264	8714	3dhcdchol
8714	6554	3dhcdchol
10257	123264	3dhcdchol
28234	10257	3dhcdchol
8647	28234	3dhcdchol
6555	1244	3dhcdchol
8647	6554	3dhcdchol
8647	10599	3dhcdchol
123264	8647	3dhcdchol
8714	200931	3dhcdchol
28234	8647	3dhcdchol
10599	10257	3dhcdchol
200931	8647	3dhcdchol
200931	8714	3dhcdchol
28234	8714	3dhcdchol
1576	8714	3dhcdchol
1244	123264	3dhcdchol
1576	10257	3dhcdchol
6555	10257	3dhcdchol
123264	10257	3dhcdchol
6554	1244	3dhcdchol
6555	8714	3dhcdchol
1244	10599	3dhcdchol
10599	1244	3dhcdchol
10599	8714	3dhcdchol
8647	123264	3dhcdchol
8647	6555	3dhcdchol
10257	6555	3dhcdchol
6554	8714	3dhcdchol
6554	10257	3dhcdchol
28234	1244	3dhcdchol
10257	10599	3dhchol
8714	28234	3dhchol
200931	1244	3dhchol
8647	28234	3dhchol
10599	8714	3dhchol
10257	6555	3dhchol
6554	1244	3dhchol
10257	123264	3dhchol
6554	8714	3dhchol
6555	1244	3dhchol
1244	28234	3dhchol
28234	1244	3dhchol
6555	8714	3dhchol
28234	10257	3dhchol
28234	8647	3dhchol
28234	8714	3dhchol
200931	10257	3dhchol
6555	10257	3dhchol
200931	8647	3dhchol
10257	6554	3dhchol
123264	10257	3dhchol
10599	10257	3dhchol
1576	1244	3dhchol
8714	123264	3dhchol
10257	200931	3dhchol
8647	200931	3dhchol
1244	6554	3dhchol
8714	10599	3dhchol
1244	200931	3dhchol
1244	6555	3dhchol
10599	8647	3dhchol
1244	10599	3dhchol
200931	8714	3dhchol
10599	1244	3dhchol
1244	123264	3dhchol
1576	10257	3dhchol
8647	10599	3dhchol
6555	8647	3dhchol
8714	6555	3dhchol
1576	8714	3dhchol
1576	8647	3dhchol
8647	6555	3dhchol
8714	200931	3dhchol
123264	1244	3dhchol
8647	123264	3dhchol
123264	8647	3dhchol
10257	28234	3dhchol
8714	6554	3dhchol
123264	8714	3dhchol
6554	10257	3dhchol
6554	8647	3dhchol
8647	6554	3dhchol
8714	123264	3dhdchol
6555	8647	3dhdchol
8647	10599	3dhdchol
10599	1244	3dhdchol
123264	1244	3dhdchol
8714	200931	3dhdchol
123264	8714	3dhdchol
10599	8647	3dhdchol
8647	6555	3dhdchol
6555	1244	3dhdchol
6555	8714	3dhdchol
123264	8647	3dhdchol
8714	10599	3dhdchol
1576	1244	3dhdchol
8647	28234	3dhdchol
8647	200931	3dhdchol
10599	8714	3dhdchol
6554	8714	3dhdchol
1244	200931	3dhdchol
1244	123264	3dhdchol
1244	10599	3dhdchol
1244	6555	3dhdchol
8647	6554	3dhdchol
28234	8714	3dhdchol
1576	8714	3dhdchol
8647	123264	3dhdchol
200931	1244	3dhdchol
28234	1244	3dhdchol
1244	28234	3dhdchol
8714	6555	3dhdchol
200931	8714	3dhdchol
8714	6554	3dhdchol
200931	8647	3dhdchol
6554	1244	3dhdchol
28234	8647	3dhdchol
1244	6554	3dhdchol
6554	8647	3dhdchol
8714	28234	3dhdchol
1576	8647	3dhdchol
1244	10599	3dhlchol
1244	6555	3dhlchol
8714	6555	3dhlchol
8714	200931	3dhlchol
123264	8714	3dhlchol
1244	6554	3dhlchol
10599	8647	3dhlchol
200931	1244	3dhlchol
8647	123264	3dhlchol
200931	8714	3dhlchol
1244	28234	3dhlchol
8647	28234	3dhlchol
28234	1244	3dhlchol
6554	8647	3dhlchol
1576	8714	3dhlchol
6555	1244	3dhlchol
10599	1244	3dhlchol
8647	10599	3dhlchol
1576	8647	3dhlchol
8714	6554	3dhlchol
8714	123264	3dhlchol
8647	200931	3dhlchol
200931	8647	3dhlchol
6555	8714	3dhlchol
8714	28234	3dhlchol
8647	6554	3dhlchol
1244	123264	3dhlchol
1244	200931	3dhlchol
28234	8647	3dhlchol
8714	10599	3dhlchol
10599	8714	3dhlchol
6554	8714	3dhlchol
28234	8714	3dhlchol
6554	1244	3dhlchol
1576	1244	3dhlchol
6555	8647	3dhlchol
123264	8647	3dhlchol
123264	1244	3dhlchol
8647	6555	3dhlchol
1666	1632	3docopencoa
26063	1962	3docopencoa
26063	10455	3docopencoa
37	1632	3dodtricoa
3295	10455	3dodtricoa
51	10455	3dodtricoa
3032	1632	3dodtricoa
3030	1632	3dodtricoa
30	10455	3dodtricoa
55304	2531	3dsphgn
10558	2531	3dsphgn
9517	2531	3dsphgn
8942	847	3hanthrn
8942	23498	3hanthrn
3028	549	3hbcoa
3033	1892	3hbcoa
3028	1892	3hbcoa
3033	549	3hbcoa
3295	1891	3hbcoa
1622	1375	3hbcoa_R
1622	126129	3hbcoa_R
1622	1374	3hbcoa_R
55268	1622	3hbcoa_R
1622	126129	3hdcoa
1892	3033	3hdcoa
34	3030	3hdcoa
34	3033	3hdcoa
34	1622	3hdcoa
1622	1375	3hdcoa
1622	1374	3hdcoa
34	1962	3hdcoa
1622	1375	3hddcoa
1622	1374	3hddcoa
34	3030	3hddcoa
1622	126129	3hddcoa
34	3033	3hddcoa
1892	3033	3hddcoa
34	1622	3hddcoa
34	1962	3hddcoa
1622	126129	3hdeccoa
3030	1622	3hdeccoa
37	1622	3hdeccoa
1622	1374	3hdeccoa
1622	1375	3hdeccoa
1622	1374	3hexdcoa
37	1622	3hexdcoa
1622	1375	3hexdcoa
3030	1622	3hexdcoa
1622	126129	3hexdcoa
26063	10455	3hexdtetcoa
26063	1962	3hexdtetcoa
1666	1632	3hexdtetcoa
26063	10455	3hexdtricoa
26063	1962	3hexdtricoa
1666	1632	3hexdtricoa
1558	7364	3hibup_S
1559	54600	3hibup_S
1558	54600	3hibup_S
1558	54659	3hibup_S
1557	54659	3hibup_S
1557	54600	3hibup_S
1559	7364	3hibup_S
1576	7364	3hibup_S
1559	54659	3hibup_S
1557	7364	3hibup_S
1576	54600	3hibup_S
1576	54659	3hibup_S
3032	3033	3hmbcoa
3032	3028	3hmbcoa
1892	1962	3hmbcoa
3030	3033	3hmbcoa
3032	1962	3hmbcoa
1892	3033	3hmbcoa
3030	3028	3hmbcoa
3030	1962	3hmbcoa
1892	3028	3hmbcoa
26275	11112	3hmp
3030	1622	3hodcoa
1622	126129	3hodcoa
1622	1374	3hodcoa
37	1622	3hodcoa
1622	1375	3hodcoa
3030	57665	3hpcoa
3032	112724	3hpcoa
1962	112724	3hpcoa
1892	100288072	3hpcoa
3032	157506	3hpcoa
1892	3291	3hpcoa
549	1487	3hpcoa
549	26275	3hpcoa
1962	51170	3hpcoa
3032	80270	3hpcoa
3030	56898	3hpcoa
3030	374875	3hpcoa
1962	57665	3hpcoa
549	112724	3hpcoa
1892	80270	3hpcoa
549	51170	3hpcoa
3032	340811	3hpcoa
1892	1487	3hpcoa
3030	80270	3hpcoa
3032	10202	3hpcoa
3030	100288072	3hpcoa
1892	374875	3hpcoa
3032	84869	3hpcoa
3032	130752	3hpcoa
3030	121214	3hpcoa
1892	112724	3hpcoa
1962	1645	3hpcoa
1892	26275	3hpcoa
1892	157506	3hpcoa
3030	1645	3hpcoa
3030	84869	3hpcoa
3030	26275	3hpcoa
549	195814	3hpcoa
1962	80270	3hpcoa
1962	1109	3hpcoa
1892	441282	3hpcoa
3032	121214	3hpcoa
3032	10553	3hpcoa
1892	340811	3hpcoa
3032	128	3hpcoa
3030	441282	3hpcoa
549	3291	3hpcoa
1892	195814	3hpcoa
1962	1487	3hpcoa
1962	56898	3hpcoa
1892	51741	3hpcoa
3030	145226	3hpcoa
549	128	3hpcoa
549	84869	3hpcoa
1962	441282	3hpcoa
1892	121214	3hpcoa
1892	93517	3hpcoa
549	51171	3hpcoa
549	57665	3hpcoa
1962	195814	3hpcoa
3030	157506	3hpcoa
3030	112724	3hpcoa
1962	3291	3hpcoa
1892	51171	3hpcoa
1962	130752	3hpcoa
3032	26275	3hpcoa
3030	1487	3hpcoa
3030	10553	3hpcoa
549	93517	3hpcoa
3032	93517	3hpcoa
1892	128	3hpcoa
549	441282	3hpcoa
3030	10202	3hpcoa
1892	1109	3hpcoa
1892	56898	3hpcoa
1962	51741	3hpcoa
549	157506	3hpcoa
3030	195814	3hpcoa
3030	93517	3hpcoa
3030	51170	3hpcoa
1962	157506	3hpcoa
1962	26275	3hpcoa
3032	51171	3hpcoa
3032	3291	3hpcoa
1962	121214	3hpcoa
549	10553	3hpcoa
3030	7923	3hpcoa
3030	57016	3hpcoa
3030	51741	3hpcoa
549	57016	3hpcoa
1962	100288072	3hpcoa
549	51741	3hpcoa
549	145226	3hpcoa
1892	130752	3hpcoa
549	340811	3hpcoa
1962	84869	3hpcoa
3030	130752	3hpcoa
3032	145226	3hpcoa
1962	57016	3hpcoa
549	130752	3hpcoa
3030	128	3hpcoa
1892	10202	3hpcoa
3032	57016	3hpcoa
1892	1645	3hpcoa
549	10202	3hpcoa
3032	374875	3hpcoa
549	56898	3hpcoa
3030	3291	3hpcoa
549	121214	3hpcoa
1962	93517	3hpcoa
1892	84869	3hpcoa
1962	128	3hpcoa
1962	340811	3hpcoa
3032	441282	3hpcoa
1962	374875	3hpcoa
1962	145226	3hpcoa
3032	100288072	3hpcoa
3032	51170	3hpcoa
3032	57665	3hpcoa
549	100288072	3hpcoa
1892	57016	3hpcoa
1962	10202	3hpcoa
1892	51170	3hpcoa
549	80270	3hpcoa
1962	7923	3hpcoa
3030	51171	3hpcoa
1892	145226	3hpcoa
549	1109	3hpcoa
1892	10553	3hpcoa
3032	56898	3hpcoa
1892	7923	3hpcoa
1892	57665	3hpcoa
